time;AirTemperatureWs;AirTemperatureEE;GlobalRadianceWs;
0.0;24.1;27.14;890.0;
300.0;24.1;27.61;862.6;
600.0;24.0;27.01;875.6;
900.0;23.9;26.47;884.4;
1200.0;23.9;27.25;859.2;
1500.0;24.5;27.34;898.7;
1800.0;24.0;27.07;863.8;
2100.0;24.8;26.88;888.2;
2400.0;24.6;27.05;875.4;
2700.0;24.6;27.37;699.2;
3000.0;24.5;26.72;789.0;
3300.0;24.3;26.2;879.6;
3600.0;24.2;27.21;782.6;
3900.0;24.5;27.02;835.6;
4200.0;25.3;27.28;895.1;
4500.0;24.9;27.52;884.0;
4800.0;25.3;28.19;899.6;
5100.0;26.0;27.69;911.4;
5400.0;26.0;28.28;904.4;
5700.0;25.7;28.67;837.5;
6000.0;25.3;28.46;838.4;
6300.0;25.5;27.09;792.7;
6600.0;25.2;27.2;747.9;
6900.0;25.6;27.17;410.3;
7200.0;25.0;26.7;439.2;
7500.0;25.2;26.63;733.4;
7800.0;25.4;27.17;786.7;
8100.0;25.2;27.34;823.3;
8400.0;25.3;28.05;439.0;
8700.0;25.8;27.88;672.2;
9000.0;25.2;27.22;485.5;
9300.0;25.6;27.68;690.0;
9600.0;25.3;27.27;683.5;
9900.0;25.1;27.55;756.0;
10200.0;25.5;27.11;624.3;
10500.0;25.7;26.93;739.9;
10800.0;25.9;27.09;741.7;
11100.0;25.8;28.13;719.8;
11400.0;26.4;28.53;710.3;
11700.0;26.3;28.38;319.3;
12000.0;26.1;28.39;405.5;
12300.0;25.7;27.54;361.7;
12600.0;25.6;26.83;564.0;
12900.0;25.5;27.27;590.8;
13200.0;25.9;28.2;358.9;
13500.0;25.8;27.81;449.1;
13800.0;26.3;27.94;536.1;
14100.0;25.6;27.9;380.0;
14400.0;26.3;28.33;509.9;
14700.0;25.6;27.77;435.1;
15000.0;26.3;27.71;432.7;
15300.0;26.2;28.02;405.4;
15600.0;25.9;27.6;412.1;
15900.0;25.7;27.67;276.4;
16200.0;25.7;27.42;438.8;
16500.0;26.3;27.87;437.8;
16800.0;26.3;27.88;413.0;
17100.0;25.7;27.04;305.1;
17400.0;25.3;26.77;369.4;
17700.0;26.0;26.93;350.6;
18000.0;25.7;27.43;209.1;
18300.0;25.5;27.06;184.2;
18600.0;25.4;26.97;201.6;
18900.0;25.4;26.52;154.4;
19200.0;25.5;26.23;215.7;
19500.0;25.5;26.33;165.8;
19800.0;25.3;26.25;123.2;
20100.0;25.3;26.14;156.6;
20400.0;25.2;26.22;136.2;
20700.0;25.4;26.41;139.6;
21000.0;25.2;26.07;113.9;
21300.0;25.2;25.84;100.2;
21600.0;25.3;25.98;103.5;
21900.0;25.3;26.0;91.3;
22200.0;25.2;25.86;80.2;
22500.0;25.0;25.61;66.2;
22800.0;25.0;25.52;54.4;
23100.0;25.0;25.45;48.0;
23400.0;24.8;25.2;41.0;
23700.0;24.8;25.06;32.2;
24000.0;24.7;24.95;26.5;
24300.0;24.7;24.88;23.0;
24600.0;24.6;24.79;19.3;
24900.0;24.6;24.75;12.9;
25200.0;24.6;24.72;8.6;
25500.0;24.6;24.65;6.4;
25800.0;24.6;24.57;3.5;
26100.0;24.6;24.6;2.4;
26400.0;24.5;24.57;1.6;
26700.0;24.5;24.44;1.4;
27000.0;24.4;24.36;0.0;
27300.0;24.3;24.29;0.0;
